10001,low
10002,medium
10003,medium
10004,low
10005,low
10006,low
10007,low
10008,low
10009,low
10010,low
10011,low
10012,low
10013,low
10014,low
10015,low
10016,low
10017,low
10018,low
10019,low
10020,low
10021,low
10022,low
10023,low
10024,low
10025,low
10026,low
10027,low
10028,low
10029,low
10030,low
10031,low
10032,low
10033,low
10034,low
10035,low
10036,low
10037,low
10038,low
10039,low
10040,low
10041,low
10042,low
10043,low
10044,low
10045,low
10046,low
10047,low
10048,low
10049,low
10050,low
10051,low
10052,low
10053,low
10054,low
10055,low
10056,low
10057,low
10058,low
10059,low
10060,low
10061,medium
10062,medium
10063,medium
10064,medium
10065,medium
10066,medium
10067,medium
10068,medium
10069,medium
10070,medium
10071,medium
10072,medium
10073,high
10074,low
10075,medium
10076,medium
10077,medium
10078,medium
10079,low
10080,low
10081,low
10082,low
10083,low
10084,low
10085,low
10086,low
10087,low
10088,low
10089,low
10090,low
10091,low
10092,low
10093,low
10094,low
10095,low
10096,low
10097,low
10098,low
10099,low
10100,medium
10101,medium
10102,medium
10103,medium
10104,medium
10105,medium
10106,medium
10107,medium
10108,medium
10109,medium
10110,medium
10111,medium
10112,high
10113,low
10114,medium
10115,medium
10116,medium
10117,medium
10118,low
10119,low
10120,low
10121,low
10122,low
10123,low
10124,low
10125,low
10126,low
10127,low
10128,low
10129,low
10130,low
10131,low
10132,low
10133,low
10134,low
10135,low
10136,low
10137,low
10138,low
10139,low
10140,low
10141,low
10142,low
10143,low
10144,low
10145,low
10146,low
10147,low
10148,low
10149,low
10150,low
10151,low
10152,low
10153,low
10154,low
10155,low
10156,low
10157,low
10158,low
10159,low
10160,low
10161,low
10162,low
10163,low
10164,low
10165,low
10166,low
10167,low
10168,low
10169,low
10170,low
10171,low
10172,low
10173,low
10174,low
10175,low
10176,low
10177,low
10178,medium
10179,medium
10180,medium
10181,medium
10182,medium
10183,medium
10184,medium
10185,medium
10186,medium
10187,medium
10188,medium
10189,medium
10190,high
10191,low
10192,medium
10193,medium
10194,medium
10195,medium
10196,low
10197,low
10198,low
